Test signal = /testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.wcwp
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
Signal value: 0
force in 57506
586290000 >> iteration no: 0
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
640465000 >> Error detected...
641015000 >> Error detected...
641590000 >> Error detected...
642540000 >> Error detected...
642890000 >> Error detected...
643465000 >> Error detected...
644290000 >> Error detected...
644590000 >> Error detected...
644865000 >> Error detected...
645515000 >> Error detected...
646140000 >> Error detected...
646790000 >> Error detected...
647565000 >> Error detected...
648415000 >> Error detected...
648665000 >> Error detected...
648990000 >> Error detected...
649565000 >> Error detected...
650540000 >> Error detected...
654115000 >> Error detected...
654740000 >> Error detected...
656290000 >> Error detected...
657465000 >> Error detected...
660490000 >> Error detected...
660765000 >> Error detected...
661340000 >> Error detected...
661665000 >> Error detected...
663065000 >> Error detected...
663690000 >> Error detected...
664190000 >> Error detected...
665365000 >> Error detected...
666215000 >> Error detected...
666615000 >> Error detected...
666940000 >> Error detected...
667515000 >> Error detected...
668490000 >> Error detected...
671890000 >> Error detected...
672515000 >> Error detected...
674190000 >> Error detected...
675365000 >> Error detected...
678215000 >> Error detected...
678490000 >> Error detected...
679240000 >> Error detected...
679565000 >> Error detected...
680965000 >> Error detected...
681590000 >> Error detected...
682090000 >> Error detected...
683265000 >> Error detected...
684115000 >> Error detected...
684365000 >> Error detected...
684690000 >> Error detected...
685265000 >> Error detected...
686415000 >> Error detected...
689815000 >> Error detected...
690440000 >> Error detected...
692165000 >> Error detected...
693340000 >> Error detected...
696190000 >> Error detected...
696465000 >> Error detected...
697040000 >> Error detected...
697365000 >> Error detected...
698940000 >> Error detected...
699565000 >> Error detected...
700065000 >> Error detected...
701240000 >> Error detected...
702090000 >> Error detected...
702340000 >> Error detected...
702665000 >> Error detected...
703240000 >> Error detected...
704215000 >> Error detected...
707790000 >> Error detected...
708415000 >> Error detected...
709965000 >> Error detected...
711315000 >> Error detected...
714165000 >> Error detected...
714440000 >> Error detected...
715015000 >> Error detected...
715340000 >> Error detected...
716740000 >> Error detected...
717365000 >> Error detected...
718040000 >> Error detected...
719215000 >> Error detected...
720065000 >> Error detected...
720315000 >> Error detected...
720640000 >> Error detected...
721215000 >> Error detected...
722190000 >> Error detected...
725765000 >> Error detected...
726390000 >> Error detected...
727940000 >> Error detected...
729115000 >> Error detected...
732140000 >> Error detected...
732415000 >> Error detected...
732990000 >> Error detected...
733315000 >> Error detected...
734715000 >> Error detected...
735340000 >> Error detected...
735840000 >> Error detected...
737190000 >> Error detected...
738040000 >> Error detected...
738290000 >> Error detected...
738615000 >> Error detected...
739190000 >> Error detected...
740165000 >> Error detected...
743740000 >> Error detected...
744365000 >> Error detected...
745915000 >> Error detected...
747090000 >> Error detected...
750115000 >> Error detected...
750390000 >> Error detected...
750965000 >> Error detected...
751290000 >> Error detected...
752690000 >> Error detected...
753315000 >> Error detected...
753815000 >> Error detected...
754990000 >> Error detected...
756015000 >> Error detected...
756265000 >> Error detected...
756590000 >> Error detected...
757165000 >> Error detected...
758140000 >> Error detected...
761540000 >> Error detected...
762165000 >> Error detected...
763840000 >> Error detected...
765015000 >> Error detected...
767865000 >> Error detected...
768140000 >> Error detected...
768890000 >> Error detected...
769215000 >> Error detected...
770615000 >> Error detected...
771240000 >> Error detected...
771740000 >> Error detected...
772915000 >> Error detected...
773765000 >> Error detected...
774015000 >> Error detected...
774340000 >> Error detected...
774915000 >> Error detected...
776065000 >> Error detected...
779465000 >> Error detected...
780090000 >> Error detected...
781815000 >> Error detected...
782990000 >> Error detected...
785840000 >> Error detected...
786115000 >> Error detected...
786690000 >> Error detected...
787015000 >> Error detected...
788590000 >> Error detected...
789215000 >> Error detected...
789715000 >> Error detected...
790890000 >> Error detected...
791740000 >> Error detected...
791990000 >> Error detected...
792315000 >> Error detected...
792890000 >> Error detected...
793865000 >> Error detected...
797440000 >> Error detected...
798065000 >> Error detected...
799615000 >> Error detected...
800965000 >> Error detected...
803815000 >> Error detected...
804090000 >> Error detected...
804665000 >> Error detected...
804990000 >> Error detected...
806390000 >> Error detected...
807015000 >> Error detected...
807690000 >> Error detected...
