Test signal = /testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.cwp
oldval = 111
pos1: 2 pos0: -1 posU: -1
newval = 110
Signal value: 111
force in 792214
586290000 >> iteration no: 0
oldval = 111
pos1: 2 pos0: -1 posU: -1
newval = 110
1374415000 >> Error detected...
1375690000 >> Error detected...
1378615000 >> Error detected...
1379890000 >> Error detected...
1380165000 >> Error detected...
1380615000 >> Error detected...
1381015000 >> Error detected...
1381140000 >> Error detected...
1381840000 >> Error detected...
1382115000 >> Error detected...
1382690000 >> Error detected...
1383215000 >> Error detected...
1383465000 >> Error detected...
1383790000 >> Error detected...
1384365000 >> Error detected...
1385015000 >> Error detected...
1385465000 >> Error detected...
1386740000 >> Error detected...
1387390000 >> Error detected...
1388040000 >> Error detected...
1388590000 >> Error detected...
1389190000 >> Error detected...
1389940000 >> Error detected...
1390290000 >> Error detected...
1390540000 >> Error detected...
1390865000 >> Error detected...
1391440000 >> Error detected...
1392090000 >> Error detected...
1392515000 >> Error detected...
1394040000 >> Error detected...
1396940000 >> Error detected...
1398190000 >> Error detected...
1399265000 >> Error detected...
1399465000 >> Error detected...
1400740000 >> Error detected...
1403640000 >> Error detected...
1404915000 >> Error detected...
1405190000 >> Error detected...
1405640000 >> Error detected...
1406040000 >> Error detected...
1406165000 >> Error detected...
1406865000 >> Error detected...
1407140000 >> Error detected...
1407715000 >> Error detected...
1408065000 >> Error detected...
1408315000 >> Error detected...
1408815000 >> Error detected...
1409390000 >> Error detected...
1410040000 >> Error detected...
1410465000 >> Error detected...
1411990000 >> Error detected...
1414715000 >> Error detected...
1416140000 >> Error detected...
1417215000 >> Error detected...
1417415000 >> Error detected...
1418690000 >> Error detected...
1421615000 >> Error detected...
1422890000 >> Error detected...
1423165000 >> Error detected...
1423615000 >> Error detected...
1424015000 >> Error detected...
1424140000 >> Error detected...
1424840000 >> Error detected...
1425115000 >> Error detected...
1425690000 >> Error detected...
1426040000 >> Error detected...
1426290000 >> Error detected...
1426615000 >> Error detected...
1427190000 >> Error detected...
1428015000 >> Error detected...
1428440000 >> Error detected...
1429965000 >> Error detected...
1432690000 >> Error detected...
1433940000 >> Error detected...
1435165000 >> Error detected...
1435365000 >> Error detected...
1436640000 >> Error detected...
1439390000 >> Error detected...
1440840000 >> Error detected...
1441115000 >> Error detected...
1441565000 >> Error detected...
1441965000 >> Error detected...
1442090000 >> Error detected...
1442790000 >> Error detected...
1443065000 >> Error detected...
1443640000 >> Error detected...
1443990000 >> Error detected...
1444240000 >> Error detected...
1444565000 >> Error detected...
1445140000 >> Error detected...
1445790000 >> Error detected...
1446240000 >> Error detected...
1447665000 >> Error detected...
1448315000 >> Error detected...
1448965000 >> Error detected...
1449515000 >> Error detected...
1450115000 >> Error detected...
1450690000 >> Error detected...
1451040000 >> Error detected...
1451290000 >> Error detected...
1451615000 >> Error detected...
1452190000 >> Error detected...
1452840000 >> Error detected...
1453265000 >> Error detected...
1454965000 >> Error detected...
1457690000 >> Error detected...
1458940000 >> Error detected...
1460190000 >> Error detected...
1460390000 >> Error detected...
1461665000 >> Error detected...
1464415000 >> Error detected...
1465690000 >> Error detected...
1465965000 >> Error detected...
1466590000 >> Error detected...
1466990000 >> Error detected...
1467115000 >> Error detected...
1467815000 >> Error detected...
1468090000 >> Error detected...
1468665000 >> Error detected...
1469015000 >> Error detected...
1469265000 >> Error detected...
1469590000 >> Error detected...
1470165000 >> Error detected...
1470815000 >> Error detected...
1471240000 >> Error detected...
1472940000 >> Error detected...
1475665000 >> Error detected...
1476915000 >> Error detected...
1477990000 >> Error detected...
1478190000 >> Error detected...
1479640000 >> Error detected...
1482390000 >> Error detected...
1483665000 >> Error detected...
1483940000 >> Error detected...
1484390000 >> Error detected...
1484790000 >> Error detected...
1484915000 >> Error detected...
1485790000 >> Error detected...
1486065000 >> Error detected...
1486640000 >> Error detected...
1486990000 >> Error detected...
1487240000 >> Error detected...
1487565000 >> Error detected...
1488140000 >> Error detected...
1488790000 >> Error detected...
1489240000 >> Error detected...
1490515000 >> Error detected...
1491165000 >> Error detected...
1491815000 >> Error detected...
1492540000 >> Error detected...
1493140000 >> Error detected...
1493715000 >> Error detected...
1494065000 >> Error detected...
1494315000 >> Error detected...
1494640000 >> Error detected...
1495215000 >> Error detected...
1495865000 >> Error detected...
1496290000 >> Error detected...
1497815000 >> Error detected...
1500715000 >> Error detected...
1501965000 >> Error detected...
1503040000 >> Error detected...
1503240000 >> Error detected...
1504515000 >> Error detected...
1507440000 >> Error detected...
1508715000 >> Error detected...
1508990000 >> Error detected...
1509440000 >> Error detected...
1509840000 >> Error detected...
1509965000 >> Error detected...
1510665000 >> Error detected...
1510940000 >> Error detected...
1511690000 >> Error detected...
1512040000 >> Error detected...
1512290000 >> Error detected...
1512615000 >> Error detected...
1513190000 >> Error detected...
1513840000 >> Error detected...
1514290000 >> Error detected...
1515565000 >> Error detected...
1516215000 >> Error detected...
1516865000 >> Error detected...
1517415000 >> Error detected...
1518190000 >> Error detected...
1518765000 >> Error detected...
1519115000 >> Error detected...
1519365000 >> Error detected...
1519690000 >> Error detected...
1520265000 >> Error detected...
1520915000 >> Error detected...
1521365000 >> Error detected...
1522690000 >> Error detected...
1526165000 >> Error detected...
1598340000 >> iteration no: 1
2610390000 >> iteration no: 2
3622265000 >> iteration no: 3
4634040000 >> iteration no: 4
5645715000 >> prog fin.
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.w.wreg:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.irqen:1
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.icc:1000
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.ticc:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.step:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.irqen2:1
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.pc:UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.rexpl:{{00000000000000000000000000000000} {00} {0} 0 0 {0000000000000000000} 0 0 0 0 0 0}
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.mexc:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.aw:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.e.ctrl:{{UUUUUUUUUUUUUUUUUUUUUUUUUUUUUU00} {00000000000000000000000000000000} {00} {10000000} {000000} 0 1 0 0 0 0 0 0 0}
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.divstart:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.e.shleft:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.bp:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.w.twcwp:000
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.jmpl:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.casa:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.werr:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.e.su:1
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.e.et:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.ldcheck1:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.stwin:000
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.ldcheck2:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.x.intack:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.ctrl:{{UUUUUUUUUUUUUUUUUUUUUUUUUUUUUU00} {00000000000000000000000000000000} {00} {10000000} {000000} 0 1 0 0 0 1 0 0 0}
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.cwp:110
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.e.sari:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.paw:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.aw:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.awp:000
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.x.ctrl:{{UUUUUUUUUUUUUUUUUUUUUUUUUUUUUU00} {00000000000000000000000000000000} {00} {10000000} {000000} 0 1 0 0 0 1 0 0 0}
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.rexnalign:0
