Test signal = /testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.bp
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
Signal value: 0
force in 1258167
584840000 >> iteration no: 0
1027865000 >> iteration no: 1
1470840000 >> iteration no: 2
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
1838065000 >> Error detected...
1838065000 >> Error detected...
1839115000 >> Error detected...
1839465000 >> Error detected...
1840290000 >> Error detected...
1840590000 >> Error detected...
1841265000 >> Error detected...
1841565000 >> Error detected...
1842140000 >> Error detected...
1842715000 >> Error detected...
1843390000 >> Error detected...
1843715000 >> Error detected...
1844240000 >> Error detected...
1844815000 >> Error detected...
1845165000 >> Error detected...
1845990000 >> Error detected...
1846290000 >> Error detected...
1846965000 >> Error detected...
1847265000 >> Error detected...
1847840000 >> Error detected...
1848415000 >> Error detected...
1849090000 >> Error detected...
1849415000 >> Error detected...
1849765000 >> Error detected...
1850515000 >> Error detected...
1850865000 >> Error detected...
1851690000 >> Error detected...
1851990000 >> Error detected...
1852665000 >> Error detected...
1852965000 >> Error detected...
1853540000 >> Error detected...
1854115000 >> Error detected...
1854790000 >> Error detected...
1855115000 >> Error detected...
1855465000 >> Error detected...
1856040000 >> Error detected...
1856390000 >> Error detected...
1857390000 >> Error detected...
1857690000 >> Error detected...
1858365000 >> Error detected...
1858665000 >> Error detected...
1859240000 >> Error detected...
1859815000 >> Error detected...
1860490000 >> Error detected...
1860815000 >> Error detected...
1861165000 >> Error detected...
1861740000 >> Error detected...
1862090000 >> Error detected...
1862915000 >> Error detected...
1863365000 >> Error detected...
1864040000 >> Error detected...
1864340000 >> Error detected...
1864915000 >> Error detected...
1865490000 >> Error detected...
1866165000 >> Error detected...
1866490000 >> Error detected...
1866840000 >> Error detected...
1867415000 >> Error detected...
1867765000 >> Error detected...
1868590000 >> Error detected...
1868890000 >> Error detected...
1869740000 >> Error detected...
1870040000 >> Error detected...
1870615000 >> Error detected...
1871190000 >> Error detected...
1871865000 >> Error detected...
1872190000 >> Error detected...
1872540000 >> Error detected...
1873115000 >> Error detected...
1873465000 >> Error detected...
1874290000 >> Error detected...
1874590000 >> Error detected...
1875265000 >> Error detected...
1875565000 >> Error detected...
1876315000 >> Error detected...
1876890000 >> Error detected...
1877565000 >> Error detected...
1877890000 >> Error detected...
1878240000 >> Error detected...
1878815000 >> Error detected...
1879165000 >> Error detected...
1879990000 >> Error detected...
1880290000 >> Error detected...
1880615000 >> Error detected...
1881215000 >> Error detected...
1881540000 >> Error detected...
1881865000 >> Error detected...
1882215000 >> Error detected...
1882740000 >> Error detected...
1883540000 >> Error detected...
1883815000 >> Error detected...
1884140000 >> Error detected...
1884715000 >> Error detected...
1885065000 >> Error detected...
1885865000 >> Error detected...
1886215000 >> Error detected...
1887015000 >> Error detected...
1887290000 >> Error detected...
1887615000 >> Error detected...
1888190000 >> Error detected...
1888540000 >> Error detected...
1889515000 >> Error detected...
1889865000 >> Error detected...
1890665000 >> Error detected...
1890940000 >> Error detected...
1891265000 >> Error detected...
1891840000 >> Error detected...
1892190000 >> Error detected...
1892990000 >> Error detected...
1893340000 >> Error detected...
1894140000 >> Error detected...
1894415000 >> Error detected...
1894740000 >> Error detected...
1895490000 >> Error detected...
1895840000 >> Error detected...
1896640000 >> Error detected...
1896990000 >> Error detected...
1897790000 >> Error detected...
1898065000 >> Error detected...
1898390000 >> Error detected...
1898965000 >> Error detected...
1899315000 >> Error detected...
1900115000 >> Error detected...
1900465000 >> Error detected...
1901265000 >> Error detected...
1901690000 >> Error detected...
1902015000 >> Error detected...
1902590000 >> Error detected...
1902940000 >> Error detected...
1903740000 >> Error detected...
1904090000 >> Error detected...
1904890000 >> Error detected...
1905165000 >> Error detected...
1905490000 >> Error detected...
1906065000 >> Error detected...
1906415000 >> Error detected...
1907215000 >> Error detected...
1907565000 >> Error detected...
1908540000 >> Error detected...
1908815000 >> Error detected...
1909140000 >> Error detected...
1909515000 >> Error detected...
1910115000 >> Error detected...
1910715000 >> Error detected...
1911040000 >> Error detected...
1911415000 >> Error detected...
1912190000 >> Error detected...
1912515000 >> Error detected...
1912940000 >> Error detected...
1913340000 >> Error detected...
