Test signal = /testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.f.pc
oldval = 01000000000000000000000010001000
pos1: 28 pos0: 31 posU: -1
newval = 01000000000000000000000010000000
Signal value: 01000000000000000000001010011000
force in 1386442
584840000 >> iteration no: 0
1027865000 >> iteration no: 1
1470840000 >> iteration no: 2
1913815000 >> iteration no: 3
oldval = 01000000000000000000001010011000
pos1: 28 pos0: 31 posU: -1
newval = 01000000000000000000001010010000
1966465000 >> Error detected...
1966815000 >> Error detected...
1967590000 >> Error detected...
1967865000 >> Error detected...
1968190000 >> Error detected...
1969015000 >> Error detected...
1969340000 >> Error detected...
1969665000 >> Error detected...
1969990000 >> Error detected...
1970265000 >> Error detected...
1970790000 >> Error detected...
1971390000 >> Error detected...
1971715000 >> Error detected...
1972165000 >> Error detected...
1972515000 >> Error detected...
1973090000 >> Error detected...
1973665000 >> Error detected...
1973990000 >> Error detected...
1974565000 >> Error detected...
1975115000 >> Error detected...
1975390000 >> Error detected...
1975990000 >> Error detected...
1976565000 >> Error detected...
1977140000 >> Error detected...
1977740000 >> Error detected...
1978490000 >> Error detected...
1979090000 >> Error detected...
1979715000 >> Error detected...
1980065000 >> Error detected...
1980840000 >> Error detected...
1981115000 >> Error detected...
1981440000 >> Error detected...
1982265000 >> Error detected...
1982590000 >> Error detected...
1982865000 >> Error detected...
1983215000 >> Error detected...
1983790000 >> Error detected...
1984365000 >> Error detected...
1984865000 >> Error detected...
1985440000 >> Error detected...
1985990000 >> Error detected...
1986265000 >> Error detected...
1986865000 >> Error detected...
1987440000 >> Error detected...
1988015000 >> Error detected...
1988615000 >> Error detected...
1989190000 >> Error detected...
1989790000 >> Error detected...
1990415000 >> Error detected...
1990765000 >> Error detected...
1991715000 >> Error detected...
1991990000 >> Error detected...
1992315000 >> Error detected...
1993140000 >> Error detected...
1993465000 >> Error detected...
1993740000 >> Error detected...
1994090000 >> Error detected...
1994665000 >> Error detected...
1995240000 >> Error detected...
1995565000 >> Error detected...
1996140000 >> Error detected...
1996690000 >> Error detected...
1996965000 >> Error detected...
1997740000 >> Error detected...
1998315000 >> Error detected...
1998890000 >> Error detected...
1999490000 >> Error detected...
2000065000 >> Error detected...
2000665000 >> Error detected...
2001290000 >> Error detected...
2001640000 >> Error detected...
2002415000 >> Error detected...
2002690000 >> Error detected...
2003015000 >> Error detected...
2004015000 >> Error detected...
2004340000 >> Error detected...
2004615000 >> Error detected...
2004965000 >> Error detected...
2005540000 >> Error detected...
2006115000 >> Error detected...
2006440000 >> Error detected...
2007015000 >> Error detected...
2007565000 >> Error detected...
2007840000 >> Error detected...
2008440000 >> Error detected...
2009015000 >> Error detected...
2009590000 >> Error detected...
2010190000 >> Error detected...
2010940000 >> Error detected...
2011540000 >> Error detected...
2012165000 >> Error detected...
2012515000 >> Error detected...
2013290000 >> Error detected...
2013565000 >> Error detected...
2013890000 >> Error detected...
2014715000 >> Error detected...
2015115000 >> Error detected...
2015665000 >> Error detected...
2016165000 >> Error detected...
2016490000 >> Error detected...
2017240000 >> Error detected...
2017840000 >> Error detected...
2018415000 >> Error detected...
2018765000 >> Error detected...
2019540000 >> Error detected...
2019815000 >> Error detected...
2020140000 >> Error detected...
2020965000 >> Error detected...
2021290000 >> Error detected...
2021615000 >> Error detected...
2021940000 >> Error detected...
2022215000 >> Error detected...
2022740000 >> Error detected...
2023515000 >> Error detected...
2023840000 >> Error detected...
2024115000 >> Error detected...
2024465000 >> Error detected...
2025040000 >> Error detected...
2025615000 >> Error detected...
2025940000 >> Error detected...
2026515000 >> Error detected...
2027065000 >> Error detected...
2027340000 >> Error detected...
2027940000 >> Error detected...
2028515000 >> Error detected...
2029090000 >> Error detected...
2029865000 >> Error detected...
2030440000 >> Error detected...
2031040000 >> Error detected...
2031665000 >> Error detected...
2032015000 >> Error detected...
2032790000 >> Error detected...
2033065000 >> Error detected...
2033390000 >> Error detected...
2034215000 >> Error detected...
2034540000 >> Error detected...
2034815000 >> Error detected...
2035165000 >> Error detected...
2035740000 >> Error detected...
2036490000 >> Error detected...
2036815000 >> Error detected...
2037390000 >> Error detected...
2037940000 >> Error detected...
2038215000 >> Error detected...
2038815000 >> Error detected...
2039390000 >> Error detected...
2039965000 >> Error detected...
2040565000 >> Error detected...
2041140000 >> Error detected...
2041740000 >> Error detected...
2042540000 >> Error detected...
2042890000 >> Error detected...
2043665000 >> Error detected...
2043940000 >> Error detected...
2044265000 >> Error detected...
2045090000 >> Error detected...
2045415000 >> Error detected...
2045690000 >> Error detected...
2046040000 >> Error detected...
2046615000 >> Error detected...
2047190000 >> Error detected...
2047515000 >> Error detected...
2048090000 >> Error detected...
2048815000 >> Error detected...
2049090000 >> Error detected...
2049690000 >> Error detected...
2050265000 >> Error detected...
2050840000 >> Error detected...
2051440000 >> Error detected...
2052015000 >> Error detected...
2052615000 >> Error detected...
2053240000 >> Error detected...
2053590000 >> Error detected...
2054365000 >> Error detected...
2054640000 >> Error detected...
2054965000 >> Error detected...
2055965000 >> Error detected...
2056290000 >> Error detected...
2056565000 >> Error detected...
2056915000 >> Error detected...
2057490000 >> Error detected...
2058065000 >> Error detected...
2058390000 >> Error detected...
2058965000 >> Error detected...
2059515000 >> Error detected...
2059790000 >> Error detected...
2060390000 >> Error detected...
2060965000 >> Error detected...
2061715000 >> Error detected...
2062315000 >> Error detected...
2062890000 >> Error detected...
2063490000 >> Error detected...
2064115000 >> Error detected...
2064465000 >> Error detected...
2065240000 >> Error detected...
2065515000 >> Error detected...
2065840000 >> Error detected...
2066665000 >> Error detected...
2067065000 >> Error detected...
2067615000 >> Error detected...
2068290000 >> Error detected...
2068615000 >> Error detected...
2069190000 >> Error detected...
2069790000 >> Error detected...
2070365000 >> Error detected...
2070715000 >> Error detected...
2071490000 >> Error detected...
2071765000 >> Error detected...
2072090000 >> Error detected...
2072915000 >> Error detected...
2073240000 >> Error detected...
2073565000 >> Error detected...
2073890000 >> Error detected...
2074165000 >> Error detected...
2074865000 >> Error detected...
2075465000 >> Error detected...
2075790000 >> Error detected...
2076065000 >> Error detected...
2076415000 >> Error detected...
2076990000 >> Error detected...
2077565000 >> Error detected...
2077890000 >> Error detected...
2078465000 >> Error detected...
2079015000 >> Error detected...
2079290000 >> Error detected...
2079890000 >> Error detected...
2080465000 >> Error detected...
2081215000 >> Error detected...
2081815000 >> Error detected...
2082390000 >> Error detected...
2082990000 >> Error detected...
2083615000 >> Error detected...
2083965000 >> Error detected...
2084740000 >> Error detected...
2085015000 >> Error detected...
2085340000 >> Error detected...
2086165000 >> Error detected...
2086490000 >> Error detected...
2086765000 >> Error detected...
2087290000 >> Error detected...
2087865000 >> Error detected...
2088440000 >> Error detected...
2088765000 >> Error detected...
2089340000 >> Error detected...
2089890000 >> Error detected...
2090165000 >> Error detected...
2090765000 >> Error detected...
2091340000 >> Error detected...
2091915000 >> Error detected...
2092515000 >> Error detected...
2093090000 >> Error detected...
2093865000 >> Error detected...
2094490000 >> Error detected...
2094840000 >> Error detected...
2095615000 >> Error detected...
2095890000 >> Error detected...
2096215000 >> Error detected...
2097040000 >> Error detected...
2097365000 >> Error detected...
2097640000 >> Error detected...
2097990000 >> Error detected...
2098565000 >> Error detected...
2099140000 >> Error detected...
2099465000 >> Error detected...
2100215000 >> Error detected...
2100765000 >> Error detected...
2101040000 >> Error detected...
2101640000 >> Error detected...
2102215000 >> Error detected...
2102790000 >> Error detected...
2103390000 >> Error detected...
2103965000 >> Error detected...
2104565000 >> Error detected...
2105190000 >> Error detected...
2105540000 >> Error detected...
2106490000 >> Error detected...
2106765000 >> Error detected...
2107090000 >> Error detected...
2107915000 >> Error detected...
2108240000 >> Error detected...
2108515000 >> Error detected...
2108865000 >> Error detected...
2109440000 >> Error detected...
2110015000 >> Error detected...
2110340000 >> Error detected...
2110915000 >> Error detected...
2111465000 >> Error detected...
2111740000 >> Error detected...
2112340000 >> Error detected...
2113090000 >> Error detected...
2113665000 >> Error detected...
2114265000 >> Error detected...
2114840000 >> Error detected...
2115440000 >> Error detected...
2116065000 >> Error detected...
2116415000 >> Error detected...
2117190000 >> Error detected...
2117465000 >> Error detected...
2117790000 >> Error detected...
2118615000 >> Error detected...
2119015000 >> Error detected...
2119740000 >> Error detected...
2120240000 >> Error detected...
2120565000 >> Error detected...
2121140000 >> Error detected...
2121740000 >> Error detected...
2122315000 >> Error detected...
2122665000 >> Error detected...
2123440000 >> Error detected...
2123715000 >> Error detected...
2124040000 >> Error detected...
2124865000 >> Error detected...
2125190000 >> Error detected...
2125690000 >> Error detected...
2126015000 >> Error detected...
2126290000 >> Error detected...
2126815000 >> Error detected...
2127415000 >> Error detected...
2127740000 >> Error detected...
2128015000 >> Error detected...
2128365000 >> Error detected...
2128940000 >> Error detected...
2129515000 >> Error detected...
2129840000 >> Error detected...
2130415000 >> Error detected...
2130965000 >> Error detected...
2131240000 >> Error detected...
2132015000 >> Error detected...
2132590000 >> Error detected...
2133165000 >> Error detected...
2133765000 >> Error detected...
2134340000 >> Error detected...
2134940000 >> Error detected...
2135565000 >> Error detected...
2135915000 >> Error detected...
2136690000 >> Error detected...
2136965000 >> Error detected...
2137290000 >> Error detected...
2138115000 >> Error detected...
2138590000 >> Error detected...
2138865000 >> Error detected...
2139215000 >> Error detected...
2139790000 >> Error detected...
2140365000 >> Error detected...
2140690000 >> Error detected...
2141265000 >> Error detected...
2141815000 >> Error detected...
2142090000 >> Error detected...
2142690000 >> Error detected...
2143265000 >> Error detected...
2143840000 >> Error detected...
2144440000 >> Error detected...
2145190000 >> Error detected...
2145790000 >> Error detected...
2146415000 >> Error detected...
2146765000 >> Error detected...
2147540000 >> Error detected...
2147815000 >> Error detected...
2148140000 >> Error detected...
2148965000 >> Error detected...
2149290000 >> Error detected...
2149565000 >> Error detected...
2149915000 >> Error detected...
2150490000 >> Error detected...
2151240000 >> Error detected...
2151565000 >> Error detected...
2152140000 >> Error detected...
2152690000 >> Error detected...
2152965000 >> Error detected...
2153565000 >> Error detected...
2154140000 >> Error detected...
2154715000 >> Error detected...
2155315000 >> Error detected...
2155890000 >> Error detected...
2156490000 >> Error detected...
2157115000 >> Error detected...
2157465000 >> Error detected...
2158415000 >> Error detected...
2158690000 >> Error detected...
2159015000 >> Error detected...
2159840000 >> Error detected...
2160165000 >> Error detected...
2160440000 >> Error detected...
2160790000 >> Error detected...
2161365000 >> Error detected...
2161940000 >> Error detected...
2162265000 >> Error detected...
2162840000 >> Error detected...
2163390000 >> Error detected...
2163665000 >> Error detected...
2164415000 >> Error detected...
2164990000 >> Error detected...
2165565000 >> Error detected...
2166165000 >> Error detected...
2166740000 >> Error detected...
2167340000 >> Error detected...
2167965000 >> Error detected...
2168315000 >> Error detected...
2169090000 >> Error detected...
2169365000 >> Error detected...
2169690000 >> Error detected...
2170690000 >> Error detected...
2171090000 >> Error detected...
2171640000 >> Error detected...
2172140000 >> Error detected...
2172465000 >> Error detected...
2173040000 >> Error detected...
2173640000 >> Error detected...
2174215000 >> Error detected...
2174565000 >> Error detected...
2175340000 >> Error detected...
2175615000 >> Error detected...
2175940000 >> Error detected...
2176940000 >> Error detected...
2177265000 >> Error detected...
2177590000 >> Error detected...
2177915000 >> Error detected...
2178190000 >> Error detected...
2178715000 >> Error detected...
2179315000 >> Error detected...
2179640000 >> Error detected...
2179915000 >> Error detected...
2180265000 >> Error detected...
2180840000 >> Error detected...
2181415000 >> Error detected...
2181740000 >> Error detected...
2182315000 >> Error detected...
2182865000 >> Error detected...
2183315000 >> Error detected...
2183915000 >> Error detected...
2184490000 >> Error detected...
2185065000 >> Error detected...
2185665000 >> Error detected...
2186240000 >> Error detected...
2186840000 >> Error detected...
2187465000 >> Error detected...
2187815000 >> Error detected...
2188590000 >> Error detected...
2188865000 >> Error detected...
2189190000 >> Error detected...
2190190000 >> Error detected...
2190515000 >> Error detected...
2190790000 >> Error detected...
2191140000 >> Error detected...
2191715000 >> Error detected...
2192290000 >> Error detected...
2192615000 >> Error detected...
2193190000 >> Error detected...
2193740000 >> Error detected...
2194015000 >> Error detected...
2194615000 >> Error detected...
2195190000 >> Error detected...
2195765000 >> Error detected...
2196540000 >> Error detected...
2197115000 >> Error detected...
2197715000 >> Error detected...
2198340000 >> Error detected...
2198690000 >> Error detected...
2199465000 >> Error detected...
2199740000 >> Error detected...
2200065000 >> Error detected...
2200890000 >> Error detected...
2201215000 >> Error detected...
2201490000 >> Error detected...
2201840000 >> Error detected...
2202590000 >> Error detected...
2203165000 >> Error detected...
2203490000 >> Error detected...
2204065000 >> Error detected...
2204615000 >> Error detected...
2204890000 >> Error detected...
2205490000 >> Error detected...
2206065000 >> Error detected...
2206640000 >> Error detected...
2207240000 >> Error detected...
2207815000 >> Error detected...
2208415000 >> Error detected...
2209190000 >> Error detected...
2209540000 >> Error detected...
2210315000 >> Error detected...
2210590000 >> Error detected...
2210915000 >> Error detected...
2211740000 >> Error detected...
2212065000 >> Error detected...
2212340000 >> Error detected...
2212690000 >> Error detected...
2213265000 >> Error detected...
2213840000 >> Error detected...
2214165000 >> Error detected...
2214740000 >> Error detected...
2215465000 >> Error detected...
2215740000 >> Error detected...
2216340000 >> Error detected...
2216915000 >> Error detected...
2217490000 >> Error detected...
2218090000 >> Error detected...
2218665000 >> Error detected...
2219265000 >> Error detected...
2219890000 >> Error detected...
2220240000 >> Error detected...
2221015000 >> Error detected...
2221290000 >> Error detected...
2221765000 >> Error detected...
2222590000 >> Error detected...
2222990000 >> Error detected...
2223540000 >> Error detected...
2224040000 >> Error detected...
2224365000 >> Error detected...
2224940000 >> Error detected...
2225540000 >> Error detected...
2226115000 >> Error detected...
2226465000 >> Error detected...
2227240000 >> Error detected...
2227515000 >> Error detected...
2227840000 >> Error detected...
2228840000 >> Error detected...
2229165000 >> Error detected...
2229490000 >> Error detected...
2229815000 >> Error detected...
2230090000 >> Error detected...
2230615000 >> Error detected...
2231215000 >> Error detected...
2231540000 >> Error detected...
2231815000 >> Error detected...
2232165000 >> Error detected...
2232740000 >> Error detected...
2233315000 >> Error detected...
2233640000 >> Error detected...
2234390000 >> Error detected...
2234940000 >> Error detected...
2235215000 >> Error detected...
2235815000 >> Error detected...
2236390000 >> Error detected...
2236965000 >> Error detected...
2237565000 >> Error detected...
2238140000 >> Error detected...
2238740000 >> Error detected...
2239365000 >> Error detected...
2239715000 >> Error detected...
2240490000 >> Error detected...
2240940000 >> Error detected...
2241265000 >> Error detected...
2242090000 >> Error detected...
2242415000 >> Error detected...
2242690000 >> Error detected...
2243040000 >> Error detected...
2243615000 >> Error detected...
2244190000 >> Error detected...
2244515000 >> Error detected...
2245090000 >> Error detected...
2245640000 >> Error detected...
2245915000 >> Error detected...
2246515000 >> Error detected...
2247265000 >> Error detected...
2247840000 >> Error detected...
2248440000 >> Error detected...
2249015000 >> Error detected...
2249615000 >> Error detected...
2250240000 >> Error detected...
2250590000 >> Error detected...
2251365000 >> Error detected...
2251640000 >> Error detected...
2251965000 >> Error detected...
2252790000 >> Error detected...
2253115000 >> Error detected...
2253390000 >> Error detected...
2253890000 >> Error detected...
2254465000 >> Error detected...
2255040000 >> Error detected...
2255365000 >> Error detected...
2255940000 >> Error detected...
2256490000 >> Error detected...
2256765000 >> Error detected...
2257365000 >> Error detected...
2257940000 >> Error detected...
2258515000 >> Error detected...
2259115000 >> Error detected...
2259690000 >> Error detected...
2260465000 >> Error detected...
2261090000 >> Error detected...
2261440000 >> Error detected...
2262215000 >> Error detected...
2262490000 >> Error detected...
2262815000 >> Error detected...
2263640000 >> Error detected...
2263965000 >> Error detected...
2264240000 >> Error detected...
2264590000 >> Error detected...
2265165000 >> Error detected...
2265740000 >> Error detected...
2266065000 >> Error detected...
2266815000 >> Error detected...
2267365000 >> Error detected...
2267640000 >> Error detected...
2268240000 >> Error detected...
2268815000 >> Error detected...
2269390000 >> Error detected...
2269990000 >> Error detected...
2270565000 >> Error detected...
2271165000 >> Error detected...
2271790000 >> Error detected...
2272140000 >> Error detected...
2273090000 >> Error detected...
2273365000 >> Error detected...
2273690000 >> Error detected...
2274515000 >> Error detected...
2274915000 >> Error detected...
2275465000 >> Error detected...
2275965000 >> Error detected...
2276290000 >> Error detected...
2276865000 >> Error detected...
2277465000 >> Error detected...
2278040000 >> Error detected...
2278390000 >> Error detected...
2279340000 >> Error detected...
2279615000 >> Error detected...
2279940000 >> Error detected...
2280765000 >> Error detected...
2356965000 >> iteration no: 4
2799665000 >> prog fin.
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.w.wreg:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.irqen:1
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.icc:0000
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.ticc:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.step:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.irqen2:1
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.pc:01000000000000000000000010000100
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.rexpl:{{00000000000000000000000000000000} {00} {0} 0 0 {0000000000000000000} 0 0 0 0 0 0}
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.mexc:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.aw:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.e.ctrl:{{01000000000000000000010000110100} {00000011000100000000000000000100} {00} {10000001} {000000} 0 1 0 0 0 0 0 0 0}
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.divstart:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.e.shleft:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.bp:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.w.twcwp:000
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.jmpl:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.casa:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.werr:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.e.su:1
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.e.et:1
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.ldcheck1:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.stwin:000
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.ldcheck2:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.x.intack:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.ctrl:{{01000000000000000000010000110000} {00000001000000000000000000000000} {00} {10000000} {000000} 0 0 0 0 0 0 1 0 0}
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.cwp:111
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.e.sari:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.paw:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.aw:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.awp:000
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.x.ctrl:{{01000000000000000000010000101100} {10000001110000111110000000001000} {00} {10000000} {000000} 0 0 0 0 0 0 1 0 0}
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.rexnalign:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.su:1
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.wcwp:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.divrdy:0
