Test signal = /testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.cwp
oldval = 111
pos1: 2 pos0: -1 posU: -1
newval = 110
Signal value: 111
force in 1414648
584840000 >> iteration no: 0
1027865000 >> iteration no: 1
1470840000 >> iteration no: 2
1913815000 >> iteration no: 3
oldval = 111
pos1: 2 pos0: -1 posU: -1
newval = 110
1995265000 >> Error detected...
1996990000 >> Error detected...
1998565000 >> Error detected...
1999215000 >> Error detected...
2001765000 >> Error detected...
2002440000 >> Error detected...
2002940000 >> Error detected...
2003140000 >> Error detected...
2004015000 >> Error detected...
2004890000 >> Error detected...
2006140000 >> Error detected...
2007865000 >> Error detected...
2009265000 >> Error detected...
2009915000 >> Error detected...
2012640000 >> Error detected...
2013315000 >> Error detected...
2013815000 >> Error detected...
2014015000 >> Error detected...
2014715000 >> Error detected...
2015040000 >> Error detected...
2016190000 >> Error detected...
2018890000 >> Error detected...
2019565000 >> Error detected...
2020065000 >> Error detected...
2020265000 >> Error detected...
2020965000 >> Error detected...
2021640000 >> Error detected...
2021965000 >> Error detected...
2022690000 >> Error detected...
2023515000 >> Error detected...
2024390000 >> Error detected...
2025640000 >> Error detected...
2027365000 >> Error detected...
2028765000 >> Error detected...
2029415000 >> Error detected...
2032140000 >> Error detected...
2032815000 >> Error detected...
2033315000 >> Error detected...
2033515000 >> Error detected...
2034215000 >> Error detected...
2035090000 >> Error detected...
2036515000 >> Error detected...
2038240000 >> Error detected...
2039640000 >> Error detected...
2040290000 >> Error detected...
2043015000 >> Error detected...
2043690000 >> Error detected...
2044190000 >> Error detected...
2044390000 >> Error detected...
2045090000 >> Error detected...
2045965000 >> Error detected...
2047215000 >> Error detected...
2049115000 >> Error detected...
2050515000 >> Error detected...
2051165000 >> Error detected...
2053715000 >> Error detected...
2054390000 >> Error detected...
2054890000 >> Error detected...
2055265000 >> Error detected...
2055965000 >> Error detected...
2056840000 >> Error detected...
2058090000 >> Error detected...
2059815000 >> Error detected...
2061215000 >> Error detected...
2062040000 >> Error detected...
2064590000 >> Error detected...
2065265000 >> Error detected...
2065765000 >> Error detected...
2065965000 >> Error detected...
2066665000 >> Error detected...
2066990000 >> Error detected...
2068315000 >> Error detected...
2070840000 >> Error detected...
2071515000 >> Error detected...
2072015000 >> Error detected...
2072215000 >> Error detected...
2072915000 >> Error detected...
2073590000 >> Error detected...
2073915000 >> Error detected...
2074815000 >> Error detected...
2075465000 >> Error detected...
2076340000 >> Error detected...
2077590000 >> Error detected...
2079315000 >> Error detected...
2080890000 >> Error detected...
2081540000 >> Error detected...
2084090000 >> Error detected...
2084765000 >> Error detected...
2085265000 >> Error detected...
2085465000 >> Error detected...
2086165000 >> Error detected...
2087215000 >> Error detected...
2088465000 >> Error detected...
2090190000 >> Error detected...
2091590000 >> Error detected...
2092240000 >> Error detected...
2094965000 >> Error detected...
2095640000 >> Error detected...
2096140000 >> Error detected...
2096340000 >> Error detected...
2097040000 >> Error detected...
2097915000 >> Error detected...
2099165000 >> Error detected...
2101065000 >> Error detected...
2102465000 >> Error detected...
2103115000 >> Error detected...
2105665000 >> Error detected...
2106515000 >> Error detected...
2107015000 >> Error detected...
2107215000 >> Error detected...
2107915000 >> Error detected...
2108790000 >> Error detected...
2110040000 >> Error detected...
2111765000 >> Error detected...
2113340000 >> Error detected...
2113990000 >> Error detected...
2116540000 >> Error detected...
2117215000 >> Error detected...
2117715000 >> Error detected...
2117915000 >> Error detected...
2118615000 >> Error detected...
2118940000 >> Error detected...
2120265000 >> Error detected...
2122790000 >> Error detected...
2123465000 >> Error detected...
2123965000 >> Error detected...
2124165000 >> Error detected...
2124865000 >> Error detected...
2125715000 >> Error detected...
2126040000 >> Error detected...
2126765000 >> Error detected...
2127415000 >> Error detected...
2128290000 >> Error detected...
2129540000 >> Error detected...
2131265000 >> Error detected...
2132840000 >> Error detected...
2133490000 >> Error detected...
2136040000 >> Error detected...
2136715000 >> Error detected...
2137215000 >> Error detected...
2137415000 >> Error detected...
2138115000 >> Error detected...
2139140000 >> Error detected...
2140390000 >> Error detected...
2142115000 >> Error detected...
2143515000 >> Error detected...
2144165000 >> Error detected...
2146890000 >> Error detected...
2147565000 >> Error detected...
2148065000 >> Error detected...
2148265000 >> Error detected...
2148965000 >> Error detected...
2149840000 >> Error detected...
2151265000 >> Error detected...
2152990000 >> Error detected...
2154390000 >> Error detected...
2155040000 >> Error detected...
2157765000 >> Error detected...
2158440000 >> Error detected...
2158940000 >> Error detected...
2159140000 >> Error detected...
2159840000 >> Error detected...
2160715000 >> Error detected...
2161965000 >> Error detected...
2163690000 >> Error detected...
2165240000 >> Error detected...
2165890000 >> Error detected...
2168440000 >> Error detected...
2169115000 >> Error detected...
2169615000 >> Error detected...
2169815000 >> Error detected...
2170690000 >> Error detected...
2171015000 >> Error detected...
2172165000 >> Error detected...
2174690000 >> Error detected...
2175365000 >> Error detected...
2175865000 >> Error detected...
2176065000 >> Error detected...
2176940000 >> Error detected...
2177615000 >> Error detected...
2177940000 >> Error detected...
2178665000 >> Error detected...
2179315000 >> Error detected...
2180190000 >> Error detected...
2181440000 >> Error detected...
2183340000 >> Error detected...
2184740000 >> Error detected...
2185390000 >> Error detected...
2187940000 >> Error detected...
2188615000 >> Error detected...
2189115000 >> Error detected...
2189490000 >> Error detected...
2190190000 >> Error detected...
2191065000 >> Error detected...
2192315000 >> Error detected...
2194040000 >> Error detected...
2195440000 >> Error detected...
2196265000 >> Error detected...
2198815000 >> Error detected...
2199490000 >> Error detected...
2199990000 >> Error detected...
2200190000 >> Error detected...
2200890000 >> Error detected...
2201765000 >> Error detected...
2203190000 >> Error detected...
2204915000 >> Error detected...
2206315000 >> Error detected...
2206965000 >> Error detected...
2209665000 >> Error detected...
2210340000 >> Error detected...
2210840000 >> Error detected...
2211040000 >> Error detected...
2211740000 >> Error detected...
2212615000 >> Error detected...
2213865000 >> Error detected...
2215765000 >> Error detected...
2217165000 >> Error detected...
2217815000 >> Error detected...
2220365000 >> Error detected...
2221040000 >> Error detected...
2221690000 >> Error detected...
2221890000 >> Error detected...
2222590000 >> Error detected...
2222915000 >> Error detected...
2224065000 >> Error detected...
2226590000 >> Error detected...
2227265000 >> Error detected...
2227765000 >> Error detected...
2228140000 >> Error detected...
2228840000 >> Error detected...
2229515000 >> Error detected...
2229840000 >> Error detected...
2230565000 >> Error detected...
2231215000 >> Error detected...
2232090000 >> Error detected...
2233340000 >> Error detected...
2235240000 >> Error detected...
2236640000 >> Error detected...
2237290000 >> Error detected...
2239840000 >> Error detected...
2240515000 >> Error detected...
2241190000 >> Error detected...
2241390000 >> Error detected...
2242090000 >> Error detected...
2242965000 >> Error detected...
2244215000 >> Error detected...
2245940000 >> Error detected...
2247515000 >> Error detected...
2248165000 >> Error detected...
2250715000 >> Error detected...
2251390000 >> Error detected...
2251890000 >> Error detected...
2252090000 >> Error detected...
2252790000 >> Error detected...
2253815000 >> Error detected...
2255065000 >> Error detected...
2256790000 >> Error detected...
2258190000 >> Error detected...
2258840000 >> Error detected...
2261565000 >> Error detected...
2262240000 >> Error detected...
2262740000 >> Error detected...
2262940000 >> Error detected...
2263640000 >> Error detected...
2264515000 >> Error detected...
2265765000 >> Error detected...
2267665000 >> Error detected...
2269065000 >> Error detected...
2269715000 >> Error detected...
2272265000 >> Error detected...
2273115000 >> Error detected...
2273615000 >> Error detected...
2273815000 >> Error detected...
2274515000 >> Error detected...
2274840000 >> Error detected...
2275990000 >> Error detected...
2278515000 >> Error detected...
2279365000 >> Error detected...
2279865000 >> Error detected...
2280065000 >> Error detected...
2280765000 >> Error detected...
2281115000 >> Error detected...
2356965000 >> iteration no: 4
2799665000 >> prog fin.
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.w.wreg:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.irqen:1
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.icc:1000
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.ticc:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.step:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.irqen2:1
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.pc:UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.rexpl:{{00000000000000000000000000000000} {00} {0} 0 0 {0000000000000000000} 0 0 0 0 0 0}
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.mexc:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.a.aw:0
