Test signal = /testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.wcwp
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
Signal value: 0
force in 1649661
584315000 >> iteration no: 0
994990000 >> iteration no: 1
1405665000 >> iteration no: 2
1816315000 >> iteration no: 3
2226965000 >> iteration no: 4
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
2231515000 >> Error detected...
2232965000 >> Error detected...
2233615000 >> Error detected...
2234065000 >> Error detected...
2234940000 >> Error detected...
2235365000 >> Error detected...
2236940000 >> Error detected...
2237565000 >> Error detected...
2239015000 >> Error detected...
2239665000 >> Error detected...
2240115000 >> Error detected...
2240990000 >> Error detected...
2241415000 >> Error detected...
2242990000 >> Error detected...
2243615000 >> Error detected...
2245065000 >> Error detected...
2245715000 >> Error detected...
2246165000 >> Error detected...
2246865000 >> Error detected...
2247465000 >> Error detected...
2249040000 >> Error detected...
2249665000 >> Error detected...
2251115000 >> Error detected...
2251765000 >> Error detected...
2252215000 >> Error detected...
2252915000 >> Error detected...
2253515000 >> Error detected...
2255090000 >> Error detected...
2255715000 >> Error detected...
2257165000 >> Error detected...
2257815000 >> Error detected...
2258265000 >> Error detected...
2258965000 >> Error detected...
2259390000 >> Error detected...
2261115000 >> Error detected...
2261740000 >> Error detected...
2263190000 >> Error detected...
2263840000 >> Error detected...
2264290000 >> Error detected...
2264990000 >> Error detected...
2265415000 >> Error detected...
2267165000 >> Error detected...
2267790000 >> Error detected...
2269240000 >> Error detected...
2269890000 >> Error detected...
2270340000 >> Error detected...
2271040000 >> Error detected...
2271465000 >> Error detected...
2273215000 >> Error detected...
2273840000 >> Error detected...
2275290000 >> Error detected...
2275940000 >> Error detected...
2276390000 >> Error detected...
2277090000 >> Error detected...
2277515000 >> Error detected...
2279090000 >> Error detected...
2279865000 >> Error detected...
2281315000 >> Error detected...
2281965000 >> Error detected...
2282415000 >> Error detected...
2283115000 >> Error detected...
2283540000 >> Error detected...
2285115000 >> Error detected...
2285915000 >> Error detected...
2287365000 >> Error detected...
2288015000 >> Error detected...
2288465000 >> Error detected...
2289165000 >> Error detected...
2289590000 >> Error detected...
2291165000 >> Error detected...
2291790000 >> Error detected...
2293415000 >> Error detected...
2294065000 >> Error detected...
2294515000 >> Error detected...
2295215000 >> Error detected...
2295640000 >> Error detected...
2297215000 >> Error detected...
2297840000 >> Error detected...
2299465000 >> Error detected...
2300115000 >> Error detected...
2300565000 >> Error detected...
2301265000 >> Error detected...
2301690000 >> Error detected...
2303265000 >> Error detected...
2303890000 >> Error detected...
2305515000 >> Error detected...
2306165000 >> Error detected...
2306615000 >> Error detected...
2307315000 >> Error detected...
2307740000 >> Error detected...
2309315000 >> Error detected...
2309940000 >> Error detected...
2311565000 >> Error detected...
2312215000 >> Error detected...
2312665000 >> Error detected...
2313365000 >> Error detected...
2313790000 >> Error detected...
2315365000 >> Error detected...
2315990000 >> Error detected...
2317615000 >> Error detected...
2318265000 >> Error detected...
2318715000 >> Error detected...
2319415000 >> Error detected...
2319840000 >> Error detected...
2321415000 >> Error detected...
2322040000 >> Error detected...
2323490000 >> Error detected...
2324315000 >> Error detected...
2324765000 >> Error detected...
2325465000 >> Error detected...
2325890000 >> Error detected...
2327465000 >> Error detected...
2328090000 >> Error detected...
2329540000 >> Error detected...
2330190000 >> Error detected...
2330815000 >> Error detected...
2331515000 >> Error detected...
2331940000 >> Error detected...
2333515000 >> Error detected...
2334140000 >> Error detected...
2335590000 >> Error detected...
2336240000 >> Error detected...
2336865000 >> Error detected...
2337565000 >> Error detected...
2337990000 >> Error detected...
2339565000 >> Error detected...
2340190000 >> Error detected...
2341640000 >> Error detected...
2342290000 >> Error detected...
2342740000 >> Error detected...
2343615000 >> Error detected...
2344040000 >> Error detected...
2345615000 >> Error detected...
2346240000 >> Error detected...
2347690000 >> Error detected...
2348340000 >> Error detected...
2348790000 >> Error detected...
2349665000 >> Error detected...
2350090000 >> Error detected...
2351665000 >> Error detected...
2352290000 >> Error detected...
2353740000 >> Error detected...
2354390000 >> Error detected...
2354840000 >> Error detected...
2355540000 >> Error detected...
2356140000 >> Error detected...
2357715000 >> Error detected...
